Id Label Weight
汝得之 汝得之 1
溫德殿 溫德殿 2
童顏 童顏 1
關名羽 關名羽 1
竇武 竇武 2
劉名備 劉名備 1
劉焉 劉焉 9
程遠志 程遠志 5
黃巾蓋 黃巾蓋 1
郎蔡邕 郎蔡邕 1
盧植 盧植 10
花開正 花開正 1
龔景 龔景 3
盧中郎 盧中郎 1
唐周 唐周 2
黃巾 黃巾 3
玄德大 玄德大 1
高祖 高祖 1
蘇雙 蘇雙 1
汝中風 汝中風 1
張引 張引 1
大吉 大吉 1
劉貞 劉貞 1
齊聲 齊聲 1
鄒靖 鄒靖 8
玄德曰 玄德曰 8
關羽 關羽 9
曹操 曹操 1
鄭玄 鄭玄 1
玄德遂 玄德遂 1
莊田 莊田 1
皇甫嵩 皇甫嵩 5
許劭 許劭 1
阿父 阿父 1
侍奉 侍奉 1
若萌 若萌 1
金失侯 金失侯 1
於桓 於桓 1
天公 天公 2
左有 左有 1
靖王 靖王 1
漢武 漢武 1
公看榜而 公看榜而 1
漢景帝 漢景帝 1
劉雄 劉雄 1
寇發 寇發 1
夏惲 夏惲 1
帝尊信 帝尊信 1
劉備 劉備 34
童童 童童 1
馬匹 馬匹 1
山后 山后 1
玄孫 玄孫 1
程曠 程曠 1
帝覽 帝覽 1
廣宗 廣宗 3
張世平 張世平 1
南華老仙 南華老仙 1
於玉堂 於玉堂 1
玄德兵 玄德兵 1
靈帝 靈帝 1
丹鳳 丹鳳 1
桑樹 桑樹 1
漢魯恭 漢魯恭 1
干政之 干政之 1
張縱馬 張縱馬 1
張天 張天 1
蒼天 蒼天 1
汝可引 汝可引 1
張來 張來 1
關公 關公 1
趙忠 趙忠 1
郭勝 郭勝 1
都尉 都尉 2
張名飛 張名飛 1
束草 束草 1
玄德回 玄德回 1
馬元義 馬元義 2
董卓 董卓 5
弘曾 弘曾 1
張曰 張曰 1
若巨雷 若巨雷 1
蹇碩 蹇碩 2
張梁 張梁 8
玄德甚 玄德甚 1
左豐 左豐 2
桑村 桑村 1
明公宜 明公宜 1
謝別二客 謝別二客 1
於園 於園 1
桓帝 桓帝 2
夏侯氏 夏侯氏 1
鄧茂 鄧茂 3
張寶 張寶 8
公孫瓚 公孫瓚 1
劉元起 劉元起 1
廣宗來 廣宗來 1
立功 立功 2
何進 何進 2
曹騰 曹騰 1
玄德引 玄德引 3
聞中郎 聞中郎 1
張角 張角 13
劉弘 劉弘 1
馬引軍 馬引軍 1
秦滅 秦滅 1
安民 安民 2
侯覽 侯覽 1
陳蕃 陳蕃 2
張讓 張讓 2
於桃園 於桃園 1
曉夜 曉夜 1
巨鹿郡 巨鹿郡 1
曹嵩 曹嵩 3
武中興 武中興 1
梁上飛 梁上飛 1
張飛 張飛 12
大賢良 大賢良 2
劉勝 劉勝 2
王之後 王之後 1
曹節 曹節 3
